contact_id,email,full_name,phone,country,address_line1,city,state,postal_code,company_name,department,job_title,attributes_json,created_at,updated_at,etl_batch_id,source_system,source_record_id,_reject_reason,_quarantine_reason
964b3e3f-3fc8-4a1f-be87-380b46008e36,mariam.kamel187yahoo.com,Mariam Kamel,01086782131,Egypt,"25 Abbasiya Tower, Nasr City",Shibin al-Kawm,Monufia,32678,Kalka Legal Consulting & Corporate Governance,Business Development,Chartered certified accountant,{},2026-06-06 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_148,,malformed email
3bfb3428-24c6-40af-bafd-50b2e2002caa,salma.el-sayed479@,Salma El-Sayed,01089955531,Egypt,"19 Youssef El-Gendy Street, Bab El-Louk",Qalyub,Qalyubia,13518,,Human Resources,"Therapist, occupational",{},2026-05-26 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_754,,malformed email
15bb1d1b-04c5-4940-ba84-822b54a91b17,doaa.mostafa469outlook.com,Doaa Mostafa,01164575712,Egypt,"326 Gamal Abd El-Nasser Street, Miami",Al-Kharijah,New Valley,72714,Firewall Contracting & Fire Systems,Human Resources,"Programmer, systems",{},2026-05-27 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_1064,,malformed email
c0877dbf-125e-49bb-9f52-c3aa715284d3,alaa.mahmoud989@@northwind.local,Alaa Mahmoud,01038291673,Egypt,"93 Ahmed Orabi Street, Mohandessin",Sohag,Sohag,82721,VIP Information Technology & Security,Research and Development,IT trainer,{},2026-05-21 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_71,,malformed email
b2b6e4bf-9b95-4fbb-874c-88db4752e1e9,hussein.yassin273@,Hussein  Yassin,01162681466,Egypt,"24A Ain Shams Street, Victory Square, Ain Shams",Dahab,South Sinai,46413,Egyptian Center for Corporate Responsibility,Accounting,Tourism officer,{},2026-06-04 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_230,,malformed email
084ab1c4-e17a-42a5-8947-e01ac5e477ef,nadia.mostafa753@outlook,Nadia Mostafa,01146542353,Egypt,"87 El-Hagaz Street, Heliopolis",Beni Suef,Beni Suef,62692,Hamdi Okil Group - Stainless Steel,Sales,"Engineer, civil (consulting)",{},2026-05-23 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_558,,malformed email
ebd1464e-cb75-45ea-a390-4ecb61bf9c1d,nader.yassin530northwind.local,Nader Yassin,01123227650,Egypt,"127 Ramses Street, Apt 7, Floor 5",Qena,Qena,11663,Al-Alamiya Group - Amal Group,Business Development,Naval architect,{},2026-05-23 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_240,,malformed email
c60a6aa2-723f-43dc-a9c2-5e961a0d2bab,hoda.mahmoud139@,Hoda Mahmoud,01241207874,Egypt,"Mahmoud Shahin Street, off Sakat Sandup Street, Mansoura",Al-Kharijah,New Valley,72717,Al-Handawil Food Processing Group,Research and Development,Magazine journalist,{},2026-05-30 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_1141,,malformed email
992a122f-3748-4e3d-bb85-2066117675a6,khaled.kamel822@gmail,Khaled Kamel,01091285522,Egypt,"145 Joahara El-Ahram Tower, Floor 1",Al-Arish,North Sinai,45212,Al-Bord International Training Group,Bsuiness Development,Chartered loss adjuster,{},2026-05-25 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_908,,malformed email
857b6bcc-36ee-473e-aebf-df30137ebb71,hany.kamel960@northwind,Hany Kamel,01538875957,Egypt,"13 El-Mahattha Shads Street, Floor 6, Zizinia",Shibin al-Kawm,Monufia,32518,Al-Hafez Law & Legal Consulting Office,Accounting,Waste management officer,{},2026-05-27 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_102,,malformed email
17d6a1c4-b0d6-40bc-b05f-4186905200db,nader.rashad516@hotmail,Nader Rashad,01250029818,Egypt,"23 Emmar Bin Yasir Street, Bihtem",Zefta,Gharbia,32512,Kalka Legal Consulting & Corporate Governance,business development,"Copywriter, advertising",{},2026-06-04 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_921,,malformed email
d60b4316-3e57-4d67-b76b-6b98702c1e69,aya.sherif195@gmail,Aya Sherif,01126214777,Egypt,"Km 25.5, Alexandria-Cairo Desert Road, Merghem, El-Ameriya",Faraskur,Damietta,34697,Amin Group for Pipes & Plastic Products,marketing,Animator,{},2026-06-03 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_658,,malformed email
b8d6cd4a-7132-42c0-b726-e4da6575b895,amr.farouk285@yahoo,Amr Farouk,01024440199,Egypt,,Shubra,Cairo,11924,Sema Sweets Group,Sales,Acting Project Manager,{},2026-06-08 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_390,,malformed email
3806e7ea-d5f0-4611-91fc-dbf68dd3b685,nadia.el-sayed947@northwind,Nadia El-Sayed,01094350003,Egypt,"300A El-Haram El-Talabiya Road, El-Haram",Beni Suef,Beni Suef,62692,International & Egyptian-Saudi Boilers Group,Bsuiness Development,Cartographer,{},2026-05-21 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_246,,malformed email
bff580d5-1e10-4296-bc55-aa65dd8b32f6,mostafa.gamal939@,Mostafa Gamal,01566088634,Egypt,"8 Ibn Marzouk Street, Saba Pasha",Akhmim,Sohag,82739,Maljiramical Import-Export & Scales,Training,"Designer, furniture",{},2026-06-04 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_1311,,malformed email
ac0bb6fc-a989-4b0c-a7da-535366fb04cb,doaa.farouk492@@egypt.gov.eg,Doaa Farouk,01093638639,Egypt,"127 Ramses Street, Apt 7, Floor 5",Faraskur,Damietta,34128,Salah El-Din Commercial Services Group,marketing,Chief Strategy Officer,{},2026-05-24 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_56,,malformed email
225c723f-4ed9-4956-a6f9-aa69487e5dc5,mahmoud.farouk465@outlook,Mahmoud Farouk,,Egypt,"18 Ain Shams Street, Triumph Square, Ain Shams",Shubra al-Khaymah,Qalyubia,11756,Corporate Advanced Services Center,Marekting,Health visitor,{},2026-05-25 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_289,,malformed email
77e4151a-14a1-4a24-a7b9-f76d3c9a1ad1,wael.mahmoud619@@gmail.com,Wael Mahmoud,01288256819,Egypt,"172 Maarouf El-Rasafi Street, Kafr Abdu",Zefta,Gharbia,32514,Salem Mantawi Import & Supplies Group,MARKETING,Public affairs consultant,{},2026-06-01 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_529,,malformed email
bef44a19-cc75-43e8-aa6e-ce77b7dc6b91,ehab.el-sayed612@,Ehab El-Sayed,01204868133,Egypt,"74  Gesr  El-Suez  Street,  Floor  9,  Heliopolis",10th of Ramadan City,Sharqia,11928,Advanced Communication Systems - DB,Legal,Occupational therapist,{},2026-05-25 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_734,,malformed email
45ef8bd5-79ff-4649-9656-871b1b04030c,hany.ibrahim958@,Hany Ibrahim,01267467162,Egypt,"326 Gamal Abd El-Nasser Street, Miami",Kafr al-Shaykh,Kafr El Sheikh,11575,Nooran Real Estate Group,Training,Sr. Support Specialist,{},2026-05-20 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_1484,,malformed email
8665e68a-5cdd-4efe-bdd8-a10be34b42d5,mona.rashad195@,Mona Rashad,01209944451,Egypt,"19 Youssef El-Gendy Street, Bab El-Louk",Alexandria,Alexandria,21562,JW Frame Networks,ACCOUNTING,Medical illustrator,{},2026-06-03 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_407,,malformed email
12e06e56-79ee-4f42-bd22-f10e46465917,mariam.abdelrahman462@,Mariam Abdelrahman,01197898899,Egypt,"13 El-Mahattha Shads Street, Floor 6, Zizinia",Zefta,Gharbia,32514,Al-Baron Corporate Gifts,Business Development,Health physicist,{},2026-06-09 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_831,,malformed email
021124a4-3159-41b7-87f9-130662793b88,ehab.mansour872@outlook,Ehab Mansour,01192040959,Egypt,"18B City of Merchants, El-Moqattam",Luxor,,85861,Al-Ameen Pipes & Plastic Group,Business Development,"Runner, broadcasting/film/video",{},2026-05-20 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_372,,malformed email
cfd9b98c-5e86-4a72-a214-00a33bc2d54a,hoda.rashad538@gmail,Hoda Rashad,01048006790,Egypt,"13 Km, Cairo-Alexandria Agricultural Road, Meet Halfa, Qalyub",Sadat City,Monufia,,Techno Build Software Solutions,Business Development,"Therapist, art",{},2026-06-01 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_217,,malformed email
2e35c5f8-62a6-4fce-ab5a-7cc6b9a5d257,aya.yassin276@gmail,Aya Yassin,01245156286,Egypt,"21 Egypt-Helwan Agricultural Road, Maadi Corniche",Kafr al-Shaykh,Kafr El Sheikh,11924,Salah El-Din Commercial Services Group,Marketing,Logistics and distribution manager,{},2026-05-21 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_595,,malformed email
2c42b796-8d0c-4fc8-9b63-f60d2d641744,sami.yassin344@,Sami Yassin,01293619924,Egypt,"29 Martyrs College Apartments, Nasr City",Mansoura,Dakahlia,34697,BECO Engineering Group,marketing,Restaurant manager,{},2026-05-20 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_191,,malformed email
727ef431-ee93-4d64-a4d8-dc8f76dd6710,mostafa.kamel421northwind.local,Mostafa Kamel,01022347380,Egypt,"145 Johara El-Ahram Tower, Floor 1, El-Haram",Hurghada,Red Sea,84723,Al-Basmala Group,ACCOUNTING,Academic librarian,{},2026-06-09 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_790,,malformed email
5eda00fa-c030-49c6-b308-c6621c21b1b6,nour.mahmoud119outlook.com,Nour Mahmoud,01140159589,Egypt,"15 Mohamed Mustafa Hammam Street, Apt 8, Floor 3, Nasr City",,Gharbia,32512,Velocity Egypt Specialized Cables,Business Development,Musician,{},2026-05-26 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_1336,,malformed email
bc8d9b00-8e10-4b67-9b34-7240e40a01d4,mona.kamel809@gmail.com,Mona Kamel,01102327685,Egypt,"5 Autostrad Road, New Cairo",Faraskur,Damietta,34630,Fath Allah El-Karim Group,Sales,Operational investment banker,{},2026-05-20 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_305,,duplicate email: mona.kamel809@gmail.com
aff0104d-6883-4981-9279-d9941210c686,mariam.nassar754@egypt.gov.eg,Mariam Nassar,01175923035,Egypt,"Km 28, Cairo-Alexandria Desert Road, Abu Rawash",Port Fouad,Port Said,42723,ICC Low-Current Systems,Training,Building services engineer,{},2026-06-02 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_1583,,duplicate email: mariam.nassar754@egypt.gov.eg
4f8a1e9d-3462-4a5b-9b06-5bf07d232a2a,ahmed.nassar518@gmail.com,Ahmed Nassar,01266384717,Egypt,"Km 7A, Third Industrial Zone, 10th of Ramadan",Maadi,Cairo,11843,Al-Gharib El-Dreeny Sons Group,Marketing,Archaeologist,{},2026-05-24 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_550,,duplicate email: ahmed.nassar518@gmail.com
7fb5a94b-0efd-49ca-9d44-fa204909cfea,aya.abdelrahman451@gmail.com,Aya Abdelrahman,01279746699,Egypt,"93 Ahmed Orabi Street, Mohandessin",Qena,Qena,11665,Al-Baron Corporate Gifts,Engineering,Electrical engineer,{},2026-05-30 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_838,,duplicate email: aya.abdelrahman451@gmail.com
4eacaaa1-7697-4b44-bec7-419d004e3d06,khaled.fathy875@yahoo.com,Khaled Fathy,01218645969,Egypt,"88 Gesr El-Manawat Street, El-Hawamdia",Zamalek,Cairo,18511,Al-Waliy Contracting Group,Legal,Press photographer,{},2026-06-06 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_987,,duplicate email: khaled.fathy875@yahoo.com
6e1eb230-5f48-4126-a9d2-0321e6f9be15,nader.mansour331@northwind.local,Nader Mansour,01269255299,Egypt,"40 El-Thawra Street, Floor 6, Dokki",Damietta,Damietta,34630,Maljiramical Import-Export & Scales,Legal,"Journalist, magazine",{},2026-05-27 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_361,,duplicate email: nader.mansour331@northwind.local
