order_order_id,order_customer_id,order_order_date,order_order_status,order_order_total,customer_customer_id,customer_contact_id,customer_customer_since,customer_status,customer_segment,contact_contact_id,contact_email,contact_full_name,contact_phone,contact_country,contact_city,contact_address_line1,contact_company_name,contact_job_title,product_product_id,product_product_name,product_category,product_brand,product_list_price
O1,CU435,2025-02-24,shipped,1471.89,CU435,C1586,2026-01-19,inactive,retail,C1586,robertlopez@morrow.com,Tracey Shields,641-932-8918x1862,Egypt,North Amy,"140 Victor Lock Suite 019
New Zacharymouth, AK 90747","Porter, Davis and Williams",Patent attorney,P124,ipsam,Clothing,Anderson Inc,3953.69
O2,CU915,2025-07-24,shipped,4880.92,CU915,C2992,2022-12-19,inactive,retail,C2992,ronald97@jensen.net,Anthony Taylor,+1-464-347-4665,Egypt,Karenfurt,"75769 Lonnie Greens Suite 721
West Karaview, KY 23709",Taylor PLC,"Engineer, manufacturing systems",P222,nisi,Food,Wilson-Hernandez,3034.52
O3,CU573,2024-12-18,shipped,2307.54,CU573,C1694,2023-09-25,inactive,retail,C1694,wallerruth@gmail.com,Karen Young,239-898-7138x5989,Egypt,Lindseystad,"116 Reyes Manor Suite 640
Victorialand, RI 31678",Stephens-Phillips,"Engineer, chemical",P440,nobis,Food,Robinson-Fleming,2875.05
O4,CU1530,2026-04-16,shipped,4711.88,CU1530,C908,2025-03-11,inactive,corporate,C908,edwinfernandez@williams-wilcox.com,Dennis Andrade,892-951-3529,Egypt,Catherinetown,"8584 John Vista
Welchland, TX 54868","Price, Medina and Hayes",Chief Financial Officer,P14,optio,Clothing,"Gutierrez, Frederick and Moore",2109.94
O5,CU2084,2025-05-25,cancelled,2814.89,CU2084,C2636,2021-06-14,active,corporate,C2636,imorales@kelley.com,Andrea Boyd,6858072305,Egypt,Christinafort,"154 Vanessa Plains
Kevinchester, MA 55894","Johnson, Castro and Sanchez",Purchasing manager,P308,alias,Clothing,Ortiz LLC,3587.16
O6,CU704,2024-10-01,shipped,4919.09,CU704,C1659,2024-12-18,active,retail,C1659,psanchez@soto-harper.info,Evan Johnson,108-982-2362x9843,Egypt,East Michael,"48710 Brett Loaf
Robertside, PA 92587","Coleman, Potter and Waters",Neurosurgeon,P42,earum,Clothing,Robinson-Hayden,1804.88
O7,CU1618,2024-11-02,pending,4925.27,CU1618,C1127,2021-05-17,active,corporate,C1127,perezsara@davis-smith.com,Tracy Thompson,(656)850-5243x6491,Egypt,North Brittanyton,"810 Morales Walks Apt. 953
Brittanyton, IL 34285",Love PLC,Writer,P87,tempore,Food,Smith-Wright,352.43
O8,CU2927,2024-11-26,pending,5067.39,CU2927,C2350,2025-06-03,active,retail,C2350,manningcourtney@heath.com,Jennifer Fisher,001-490-879-4224,Egypt,Troymouth,"188 Stephanie Gateway Apt. 048
North Sarahchester, DC 03497",Parker-Harris,Telecommunications researcher,P272,enim,Electronics,Koch-Ramirez,2792.03
O9,CU2285,2024-10-11,shipped,4349.55,CU2285,C2649,2023-12-05,inactive,corporate,C2649,haley78@ramirez-smith.com,Angela Nelson,099-560-3830x78490,Egypt,Port Andreabury,"3926 Smith Way Apt. 154
South Luis, VT 81982",Ford-Dunn,Dentist,P311,sapiente,Electronics,Watkins-Swanson,3716.18
O10,CU1302,2026-01-17,cancelled,8134.13,CU1302,C2248,2022-11-03,inactive,corporate,C2248,taylorclarke@hotmail.com,Chloe Conley,001-831-791-8561,Egypt,Riddlefort,"632 Anthony Mews Apt. 381
Hernandezton, RI 68761","Carter, Davis and Cowan",Optometrist,P171,temporibus,Electronics,"Perry, Thompson and Taylor",195.86
O11,CU1418,2025-12-12,pending,8118.6,CU1418,C2094,2023-09-27,active,retail,C2094,hstephens@hotmail.com,Jason Nichols,779.316.8543x6706,Egypt,Hardyville,"046 Ann Motorway
Bryanfort, NY 71148",Nielsen and Sons,Quantity surveyor,P463,vel,Clothing,Carlson-Giles,3869.24
O12,CU32,2024-10-14,cancelled,416.05,CU32,C1450,2021-07-31,inactive,retail,C1450,alvaradopaul@kramer.com,Tracy Jimenez,663.082.3296,Egypt,Draketon,"05905 Perry Tunnel Apt. 194
North Steve, TX 05031",Lawrence-Herrera,"Embryologist, clinical",P211,vero,Clothing,"Webster, Hicks and Farley",2374.69
O13,CU1438,2024-06-06,pending,5159.62,CU1438,C2898,2023-05-03,inactive,corporate,C2898,ortizkristina@gmail.com,Ryan Medina,001-222-774-3891x801,Egypt,Poolebury,"76235 Ponce Drive
Youngchester, MI 58108",Allen-Burton,"Pharmacist, hospital",P209,laudantium,Food,Edwards-Bush,1771.75
O14,CU795,2024-12-21,pending,4035.68,CU795,C2923,2022-04-08,active,corporate,C2923,christineball@spencer.com,Scott Jackson,+1-141-088-8314x5947,Egypt,Myersfurt,"PSC 9051, Box 6694
APO AA 35168",Phillips-Kirk,Radio producer,P60,nobis,Electronics,"Cole, Strickland and Garcia",1087.94
O15,CU478,2024-12-10,cancelled,7373.89,CU478,C2588,2023-05-29,inactive,corporate,C2588,dbrown@hotmail.com,Katie Mann,529-882-6200x4376,Egypt,Michelleberg,"USNV Holland
FPO AP 67612",Davis Inc,"Psychotherapist, child",P25,eius,Food,Lawrence-Keller,3052.3
