contact_id,email,full_name,phone,country,address_line1,city,state,postal_code,company_name,department,job_title,attributes_json,created_at,updated_at,etl_batch_id,source_system,source_record_id
8ae2ec1c-50b0-48d7-bc1a-d54afcf7a96a,aya.saad628@company.com.eg,Aya Saad,01012100876,Egypt,"23 Emmar Bin Yasir Street, Bihtem",Ismailia,Ismailia,41944,VIP Information Technology & Security,Accounting,Tree surgeon,{},2026-05-26 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_628
36c71278-0cfa-463b-9f7e-ec55273210e6,mahmoud.abdelrahman539@company.com.eg,Mahmoud Abdelrahman,01111,Egypt,"109 Road, off Road 119, Industrial Zone, Obour City",Akhmim,Sohag,82648,Al-Bord International Training Group,Services,"Scientist, research (physical sciences)",{},2026-05-28 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_884
b84fab42-7371-4607-9c01-2bccf8e3c70d,wael.nassar770@hotmail.com,Wael Nassar,01507589351,Egypt,"101 Abd El-Moneim Riyad Street, Agouza",Al-Tur,South Sinai,46264,Sema Sweets Group,TRAINING,Nature conservation officer,{},2026-06-06 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_983
a33cbb8b-1182-452b-bb69-c5746314e5cf,sami.fathy492@yahoo.com,Sami Fathy,01140742937,Egypt,"13 Km, Cairo-Alexandria Agricultural Road, Meet Halfa, Qalyub",Faraskur,Damietta,34630,El-Madina Feed & Grain Factory,Marekting,Developer,{},2026-05-21 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_874
e8c04a40-875e-487e-9a8a-c4eabd0443a1,mona.ali832@outlook.com,Mona Ali,01507106428,Egypt,"6 El-Sayyad El-Gab Alley, Dahab",Marsa Matruh,Matruh,51711,Advanced Communication Systems - DB,Marekting,Retail buyer,{},2026-05-29 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_647
ad34d27e-9e7d-4e20-92f2-5ce1cf6e081f,sami.ibrahim124@company.com.eg,Sami Ibrahim,01004752120,Egypt,"93 Ahmed Orabi Street, Mohandessin",Faiyum,Faiyum,63513,Mekarem Carpets - Mecca Rugs Group,Product Management,Counselling psychologist,{},2026-06-01 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_616
9e82cc99-45fb-4001-b597-3b6f75d77e4c,hussein.yassin876@company.com.eg,Hussein Yassin,01260570335,Egypt,"8 Ibn Marzouk Street, Saba Pasha",Ismailia,Ismailia,41532,Takamol Auditing & Company Formation,Accounting,"Teacher, primary school",{},2026-05-23 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_657
4790e0c5-e431-4ddc-b971-8e37456682ce,hany.mostafa468@hotmail.com,	Hany Mostafa	,01294376818,Egypt,"237 Ramses Street, Ghamra",Kawm Umbu,Aswan,81162,Al-Khalij El-Masri Contracting Group,MARKETING,Publishing copy,{},2026-05-29 00:00:00,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,it_cust_1013
a97468ce-b912-453a-87bf-2c3df530b7c5,eman.el-sayed983@egypt.gov.eg,Eman El-Sayed,01546571855,Egypt,"202 Ahmed Shawky Street, Bulkly",Beni Suef,Beni Suef,62511,Badawi Industrial & Commercial Group,ACCOUNTING,Animal technologist,{},2026-05-27 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,no_cust_262
c234fc58-a170-4478-9a0a-f586b5695071,	mostafa.abdelrahman353@yahoo.com	,Mostafa Abdelrahman,01575952915,Egypt,"149 Abu El-Farag Street, Rawdh El-Farag",Desouk,Kafr El Sheikh,33506,Delta Gas Group,Sales,"Copywriter, advertising",{},2026-06-02 00:00:00,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_1471
